id,rulepack,rule_src,type_id,name,description,tags,kc,classification,threat_def,mitre_attackids,query,distinguishers,deleted,hidden,rf_rule,enabled,alert,revisions,risk,create_date,update_date,disabled_reason,tuned,tuningSearch,tuningEventsThreshold,tuningSecondsThreshold,customer_id,weblink,mitre_tactics,severity,confidence,count,extra_f1,extra_f2,threatvector,os,eventids,threattype,ruletype,hit check,Categorization,Metadata_update,Rule Count before,Rule Count After,Tags,RA - investigate,RA - contain,RA - remediate
1.1.3360,CipherCloud,internal,65470a31-72d0-43bd-bdd5-fa3b34e90b8d,CIPHERCLOUD [Content - Shared Link Removed],This rule looks for CipherCloud events on removal of a shared link in the content.,"ciphercloud,sharedlink,md-info",NA,Methodology,Methodology,NA,class:ciphercloud action=removesharedlink NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3360,NA,Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,low,standalone proxy,,,,passthrough,4.1.1,"4.2.1, 4.2.2",4.3.1
1.1.3361,CipherCloud,internal,65470a31-72d0-43bd-bdd5-fa3b34e90b8d,CIPHERCLOUD [Content - Deleted],This rule looks for CipherCloud events on content deletion.,"ciphercloud,delete,md-info",NA,Methodology,Methodology,NA,class:ciphercloud action=permanentdelete NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3361,NA,Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,low,standalone proxy,,,,passthrough,4.1.1,"4.2.1, 4.2.2",4.3.1
1.1.3362,CipherCloud,internal,65470a31-72d0-43bd-bdd5-fa3b34e90b8d,CIPHERCLOUD [Content - Quarantined],This rule looks for CipherCloud events on content being quarantined.,"ciphercloud,quarantine,md-info",NA,Methodology,Methodology,NA,class:ciphercloud action=quarantine NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3362,NA,Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,low,standalone proxy,,,,passthrough,"4.1.1, 2.1.1",2.2.3,"2.3.2, 4.3.1"
1.1.3363,CipherCloud,internal,65470a31-72d0-43bd-bdd5-fa3b34e90b8d,CIPHERCLOUD [Content - Remediate],This rule looks for CipherCloud events on content being remediated.,"ciphercloud,remediate,md-info",NA,Methodology,Methodology,NA,class:ciphercloud action=userremediate NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3363,NA,Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,low,standalone proxy,,,,passthrough,"4.1.2, 2.1.5",2.2.3 ,"2.3.3, 4.3.1"
1.1.3364,CipherCloud,internal,65470a31-72d0-43bd-bdd5-fa3b34e90b8d,CIPHERCLOUD [Content - Denied],This rule looks for CipherCloud events on content being denied.,"ciphercloud,deny,md-info",NA,Methodology,Methodology,NA,class:ciphercloud action=deny NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3364,NA,Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,low,standalone proxy,,,,passthrough,"4.1.2, 2.1.5",2.2.3 ,"2.3.3, 4.3.1"
